Nepravilan zapis u datoteci senzora: Alojzija Stepinca;15;100;0
Nepravilan zapis u datoteci spremnika: bio;0;1;1;1;1;120
***generiranje otpada***Pavlinska***
Korisnik (1)[1] : Staklo - 2.21, Papir - 4.08, Metal - 1.99, Bio - 6.59, Mješano - 28.83
Korisnik (2)[1] : Staklo - 3.16, Papir - 2.62, Metal - 0.89, Bio - 3.45, Mješano - 21.41
Korisnik (3)[1] : Staklo - 0.96, Papir - 2.69, Metal - 1.55, Bio - 6.61, Mješano - 17.49
Korisnik (4)[1] : Staklo - 1.96, Papir - 3.53, Metal - 0.42, Bio - 6.37, Mješano - 12.9
Korisnik (5)[1] : Staklo - 1.6, Papir - 0.5, Metal - 0.83, Bio - 5.07, Mješano - 28.69
Korisnik (6)[1] : Staklo - 3.62, Papir - 3.7, Metal - 1.52, Bio - 1.52, Mješano - 11.59
Korisnik (7)[1] : Staklo - 3.38, Papir - 0.98, Metal - 1.78, Bio - 9.2, Mješano - 29.71
Korisnik (8)[2] : Staklo - 13.16, Papir - 3.13, Metal - 1.56, Bio - 48.17, Mješano - 65.03
Korisnik (9)[2] : Staklo - 4.03, Papir - 13.34, Metal - 1.96, Bio - 33.12, Mješano - 33.36
Korisnik (10)[3] : Staklo - 29.84, Papir - 133.4, Metal - 15.91, Bio - 218.9, Mješano - 293.3
***generiranje otpada***Petra Krešimira IV***
Korisnik (11)[1] : Staklo - 2.36, Papir - 2.61, Metal - 0.73, Bio - 6.71, Mješano - 3.05
Korisnik (12)[1] : Staklo - 6.21, Papir - 3.94, Metal - 1.49, Bio - 8.27, Mješano - 27.72
Korisnik (13)[1] : Staklo - 6.49, Papir - 4.18, Metal - 2.15, Bio - 9.1, Mješano - 21.44
Korisnik (14)[1] : Staklo - 1.02, Papir - 3.8, Metal - 1.2, Bio - 4.53, Mješano - 10.18
Korisnik (15)[1] : Staklo - 1.37, Papir - 4.82, Metal - 2.56, Bio - 5.1, Mješano - 14.63
Korisnik (16)[1] : Staklo - 3.44, Papir - 0.92, Metal - 0.55, Bio - 4.81, Mješano - 20.3
Korisnik (17)[1] : Staklo - 3.75, Papir - 2.68, Metal - 2.82, Bio - 2.06, Mješano - 19.79
Korisnik (18)[1] : Staklo - 2.98, Papir - 2.46, Metal - 1.54, Bio - 4.7, Mješano - 24.93
Korisnik (19)[1] : Staklo - 1.18, Papir - 4.67, Metal - 1.04, Bio - 1.41, Mješano - 5.94
Korisnik (20)[1] : Staklo - 4.15, Papir - 2.6, Metal - 1.44, Bio - 2.8, Mješano - 26.4
Korisnik (21)[1] : Staklo - 4.38, Papir - 3.1, Metal - 2.85, Bio - 7.2, Mješano - 10.09
Korisnik (22)[1] : Staklo - 1.96, Papir - 3.22, Metal - 0.79, Bio - 7.95, Mješano - 14.44
Korisnik (23)[1] : Staklo - 6.75, Papir - 3.85, Metal - 2.51, Bio - 9.5, Mješano - 3.39
Korisnik (24)[1] : Staklo - 6.66, Papir - 1.0, Metal - 1.85, Bio - 6.29, Mješano - 19.0
Korisnik (25)[1] : Staklo - 4.29, Papir - 1.09, Metal - 2.2, Bio - 6.33, Mješano - 24.29
Korisnik (26)[1] : Staklo - 5.45, Papir - 2.3, Metal - 2.1, Bio - 8.44, Mješano - 24.22
Korisnik (27)[1] : Staklo - 6.39, Papir - 2.19, Metal - 0.48, Bio - 5.48, Mješano - 3.47
Korisnik (28)[1] : Staklo - 6.52, Papir - 4.6, Metal - 2.68, Bio - 3.43, Mješano - 19.18
Korisnik (29)[1] : Staklo - 3.74, Papir - 1.88, Metal - 2.55, Bio - 5.53, Mješano - 6.53
Korisnik (30)[2] : Staklo - 17.11, Papir - 14.48, Metal - 4.21, Bio - 23.01, Mješano - 60.9
Korisnik (31)[2] : Staklo - 13.11, Papir - 11.75, Metal - 1.43, Bio - 34.7, Mješano - 90.45
Korisnik (32)[2] : Staklo - 14.09, Papir - 14.44, Metal - 3.1, Bio - 36.13, Mješano - 24.4
